000 COC(=O)O
06Z c1ccc(cc1)C(=O)c2c(nc(s2)Nc3cccc(c3)F)N
070 c1ccc(cc1)C[C@@H]2[C@H](O2)[C@@H]([C@H](Cc3ccccc3)N)O
071 Cn1c-2c(c(n1)C(=O)N)CCc3c2nc(nc3)Nc4cc(ccc4OC)N5CCN(CC5)C
072 CCCCCCC[C@H]1N(C(=O)[C@@H](S1)CC(=O)N(Cc2ccccc2)Cc3ccccc3)CCCCc4ccc(cc4)C(=O)O
073 COC(=O)c1ccc(cc1)[C@@](C\C=C\c2ccccc2)(Cc3ccc(cc3)C(F)(F)P(=O)(O)O)n4c5ccccc5nn4
074 CCCNC(=O)[C@H](CC(=O)N[C@@H]([C@@H](C)CC)C(=O)N1CCC[C@H]1C(=O)O)O
075 CC1([C@H](N(CS1)C(=O)[C@H]([C@H](Cc2ccccc2)NC(=O)[C@H](CS(=O)(=O)C)NC(=O)COc3cccc4c3ccnc4)O)C(=O)N[C@H]5c6ccccc6C[C@H]5O)C
076 CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H]([C@@H]2[C@H](O2)Cc3ccccc3)O)NC(=O)COc4ccccc4
077 c1ccc(cc1)c2ccc(cc2)CC[C@@H](CC(=O)O)O
078 c1ccc(cc1)C[C@@H]([C@H]([C@@H]([C@@H](Cc2ccccc2)O)N)O)N
079 CC(C)[C@@H](C(=O)N[C@@H](Cc1ccccc1)[C@H]([C@@H]([C@@H](Cc2ccccc2)O)N)O)NC(=O)COc3ccccc3
07B COC(=O)[C@H]1C[C@@H]([C@H](C[C@@H]1C(=O)OC)O)O
07C CSc1ncc2cc3cnccc3c(c2n1)[N+](=O)[O-]
07D CCc1c(c2n3c1C=C4C(=C5C(=O)[C@@H](C6=C7C(=C(C8=CC9=[N]([Mg]3(N87)[N]4=C65)C(=C2)C(=C9C)C(=O)C)C)CCC(=O)OC/C=C(\C)/CC/C=C(\C)/CC/C=C(\C)/CCC=C(C)C)C(=O)OC)C)C
07E C[C@@H](CCO[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
07F CC1=C(C(=O)N(C(=N1)c2cccc(c2O)F)CCc3ccccc3)Cc4ccccc4
07G CC(C)(C)NC(=O)[C+](c1c2ccc(cc2[nH]c1C(=O)O)Cl)N(Cc3ccc(c(c3)F)F)C=O
07H c1ccc2c(c1)C=C(CO2)CN3CCN(CC3)C(=O)c4cccc(c4)c5ccn[nH]5
07I C[C@H]1C[C@H]([C@H](O[C@H]1C/C=C(\C)/C=C/[C@@H]2CC(=CC(=O)O2)C)C)NC(=O)/C=C\[C@H](C)OC(=O)C
07J CCN1CCN(CC1)c2ccc(cc2)Nc3cc(ncn3)N(C)C(=O)Nc4c(c(cc(c4Cl)OC)OC)Cl
07K Cc1cccc2c1nccc2N
07L c1cc2c(cc1O)OC(=O)C=C2
07M c1cc(c(nc1)C#N)CSc2c3c(c(c(n2)O)C#N)CCOC3
07N Cc1c(c(c([nH]1)C(=O)N[C@@H]2CCN(C[C@@H]2F)c3ncc(s3)C(=O)O)Cl)Cl
07O C[C@@H](c1ccccc1)C(=O)SC[C@@H](C(=O)O)N
07P CCCCCCCCCCCCCCCCCCCCCCCCCC(=O)N[C@@H](CO[C@@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)[C@@H](CCCCCCC[C@@H]2C[C@H]2CCCCCCCCCC)O
07Q C[C@H](c1cccc(c1)OC)NC(=O)Nc2nc(cs2)c3ccncc3
07R c1cc(cc(c1)O)CNC(=O)Nc2nc(cs2)c3ccncc3
07S c1cc(cnc1)c2cnc(s2)Nc3cc(ccn3)N4CCN(CC4)CC(=O)N5CCOCC5
07T Cn1c2cc(sc2c3c1C(=O)N(N=C3)Cc4cccc(c4)N)[S@](=O)C
07U CC(C)(CNc1c2ccncc2cc(n1)c3ccncc3)N
07V CC1=CC[C@H](CC1=O)C(=C)C
